1,266.48999
2,253.809998
3,269.200012
4,277.690002
5,301.220001
6,280.980011
7,312.640015
8,364.029999
9,393.619995
10,398.790009
11,358.690002
12,362.100006
13,336.369995
14,304.130005
15,312.549988
16,324.779999
17,312.98999
18,339.040009
19,322.440002
20,305.459991
21,338.640015
22,310.350006
23,354.529999
24,380.160004
25,372.100006
26,421.779999
27,429.230011
28,434.089996
29,536.150024
30,512.890015
31,511.890015
32,625.900024
33,664.799988
34,675.890015
35,587
36,552.52002
37,593.640015
38,659.590027
39,722.789978
40,715.619995
41,758.809998
42,769.159973
43,837.309998
44,789.820007
45,750.570007
46,768.659973
47,823.47998
48,845.039978
49,886.539978
50,924.98999
51,994.619995
52,968
53,987.780029
54,980.599976
55,961.349976
56,1105.280029
57,1176.75
58,1169.469971
59,1450.890015
60,1521.949951
